(Step 1) | Policy v0 |    2.2s | Reward 0.6113
Step 54 |   25.2s | Reward 0.6136 | Trainable 88/128
Step 55 |    5.4s | Reward 0.7344 | Trainable 64/128
Step 56 |   787ms | Reward 0.7083 | Trainable 48/128
Step 57 |   611ms | Reward 0.3889 | Trainable 72/128
Step 58 |   25.2s | Reward 0.5625 | Trainable 48/128
Step 59 |   767ms | Reward 0.5556 | Trainable 72/128
Step 6 |    1.1s | Reward 0.5673 | Trainable 104/128
Step 60 |   686ms | Reward 0.5795 | Trainable 88/128
Step 61 |   27.3s | Reward 0.6562 | Trainable 32/128
Step 62 |   836ms | Reward 0.5208 | Trainable 48/128
Step 63 |   898ms | Reward 0.8000 | Trainable 80/128
Step 64 |   28.0s | Reward 0.7639 | Trainable 72/128
Step 65 |   729ms | Reward 0.7250 | Trainable 40/128
Step 66 |   752ms | Reward 0.6111 | Trainable 72/128
Step 67 |   29.6s | Reward 0.6786 | Trainable 56/128
Step 68 |   901ms | Reward 0.6429 | Trainable 56/128
Step 69 |   670ms | Reward 0.7292 | Trainable 48/128
Step 7 |   775ms | Reward 0.4083 | Trainable 120/128
Step 70 |   28.1s | Reward 0.7083 | Trainable 24/128
Step 71 |   889ms | Reward 0.7750 | Trainable 40/128
Step 72 |   996ms | Reward 0.6667 | Trainable 24/128
Step 73 |   28.1s | Reward 0.7500 | Trainable 40/128
Step 74 |    1.0s | Reward 0.8036 | Trainable 56/128
Step 75 |   658ms | Reward 0.8182 | Trainable 32/128
Step 76 |   709ms | Reward 0.5000 | Trainable 32/256
Step 77 |    1.0s | Reward 0.7812 | Trainable 32/128
Step 78 |   833ms | Reward 0.6964 | Trainable 56/128
Step 79 |   767ms | Reward 0.8500 | Trainable 40/128
Step 8 |   754ms | Reward 0.4911 | Trainable 112/128
Step 80 |   28.6s | Reward 0.7500 | Trainable 24/128
Step 81 |   877ms | Reward 0.8542 | Trainable 48/128
Step 82 |   25.0s | Reward 0.6250 | Trainable 8/128
Step 83 |   994ms | Reward 0.7188 | Trainable 32/128
Step 84 |    4.4s | Reward 0.7500 | Trainable 24/128
Step 85 |   685ms | Reward 0.8125 | Trainable 32/128
Step 86 |   683ms | Reward 0.8125 | Trainable 16/128
Step 87 |   27.1s | Reward 0.8750 | Trainable 8/128
